package_name,status,reason,mode
Thrills of Bali for Two,success,,dry_run
Bali Funventure,success,,dry_run
Island Highs,success,,dry_run
Bali Adventure Highs,success,,dry_run
Beach Bliss for Two,success,,dry_run
Bali Beach Family Fun,success,,dry_run
"Sun, Surf & the Crew",success,,dry_run
Bali Island Escape,success,,dry_run
Jewels of Nusa Penida,success,,dry_run
Seminyak Escape,success,,dry_run
Kuta Family Fun,success,,dry_run
Urban Bali with the Crew,success,,dry_run
Bali City Explorer,success,,dry_run
Heart of Bali,success,,dry_run
Bali Heritage Quest,success,,dry_run
Tribe Culture Trek,success,,dry_run
Bali Cultural Discovery,success,,dry_run
Grandeur of Bali,success,,dry_run
Bali Premium Family Retreat,success,,dry_run
The Curated Bali Experience,success,,dry_run
Bespoke Bali Retreat,success,,dry_run
Highland Love Escape,success,,dry_run
Bali Highland Family Adventure,success,,dry_run
Summit Seekers,success,,dry_run
Volcanic Trails,success,,dry_run
Dazzling Bali Nights,success,,dry_run
Bali Night Lights,success,,dry_run
Island Beats,success,,dry_run
Bali After Dark,success,,dry_run
A Balinese Love Story,success,,dry_run
Paradise for Two,success,,dry_run
Bali Love Escape,success,,dry_run
Tropical Love Escape,success,,dry_run
Seminyak Style Escape,success,,dry_run
Bali Family Spree,success,,dry_run
Retail Therapy in Bali,success,,dry_run
Bali Shopper's Dream,success,,dry_run
Bliss in Bali,success,,dry_run
Bali Family Unwind,success,,dry_run
Chill & Thrill in Bali,success,,dry_run
Bali Serenity,success,,dry_run
Ancient Temples for Two,success,,dry_run
Balinese Heritage Journey,success,,dry_run
Explorers of Ancient Bali,success,,dry_run
Bali Heritage Discovery,success,,dry_run
Flavours of Bali,success,,dry_run
Bali Culinary Family Adventure,success,,dry_run
Foodie Tribe,success,,dry_run
Bali Culinary Journey,success,,dry_run
Tropical Nature Escape,success,,dry_run
Bali Nature Quest,success,,dry_run
Into the Wild with the Crew,success,,dry_run
Into the Wild,success,,dry_run
Wildlife Wonders of Bali,success,,dry_run
Bali Wild Kingdom,success,,dry_run
Tribe Safari,success,,dry_run
Bali Wildlife Explorer,success,,dry_run
Sacred Bali,success,,dry_run
Temples of Bali,success,,dry_run
Spiritual Seekers,success,,dry_run
Inner Peace in Bali,success,,dry_run
Cool Highlands of Bali,success,,dry_run
Bali Highland Discovery,success,,dry_run
Highland Trek with the Crew,success,,dry_run
Bali Highland Escape,success,,dry_run
Bali Drive & Romance,success,,dry_run
Bali Self-Drive Family Explorer,success,,dry_run
Road Cruise with the Crew,success,,dry_run
Bali Wanderer,success,,dry_run
Volcanic Escape for Two,success,,dry_run
Volcanic Bali Family Discovery,success,,dry_run
Rugged Bali with the Crew,success,,dry_run
Volcanic Bali Explorer,success,,dry_run
Bali Road Romance,success,,dry_run
Epic Bali Family Road Trip,success,,dry_run
Cross-Island Adventure,success,,dry_run
Bali Road Diaries,success,,dry_run
Best of Bali for Two,success,,dry_run
Best of Bali with Family,success,,dry_run
Best of Bali with the Crew,success,,dry_run
Best of Bali,success,,dry_run
Essence of Bali,success,,dry_run
