transfer_code,title,status,reason,transfer_id,target_collection,existing_collection,from_csv,to_csv,from_city_resolved,to_city_resolved,city_csv,city_resolved,country_csv,country_resolved,price_rows,slab_count,mode
RAIL_56208,Train from Kyoto to Osaka,queued_update,,68e7cb0e6b76504213b21ee2,across_city_transfer,across_city_transfer,Kyoto,Osaka,Kyoto,Osaka,Kyoto,,Japan,Japan,3,3,dry_run
RAIL_56209,Train from Osaka to Kyoto,queued_update,,68e7cb0e6b76504213b21ee1,across_city_transfer,across_city_transfer,Osaka,Kyoto,Osaka,Kyoto,Osaka,,Japan,Japan,3,3,dry_run
RAIL_56210,Train from Osaka to Tokyo,queued_update,,68e7cb0e6b76504213b21ee0,across_city_transfer,across_city_transfer,Osaka,Tokyo,Osaka,Tokyo,Osaka,,Japan,Japan,3,3,dry_run
RAIL_56327,Train from Tokyo to Kyoto,queued_update,,68e7cb0e6b76504213b21ec9,across_city_transfer,across_city_transfer,Tokyo,Kyoto,Tokyo,Kyoto,Tokyo,,Japan,Japan,3,3,dry_run
RAIL_56328,Train from Kyoto to Tokyo,queued_update,,68e7cb0e6b76504213b21ec8,across_city_transfer,across_city_transfer,Kyoto,Tokyo,Kyoto,Tokyo,Kyoto,,Japan,Japan,3,3,dry_run
RAIL_56329,Train from Tokyo to Osaka,queued_update,,68e7cb0e6b76504213b21ec7,across_city_transfer,across_city_transfer,Tokyo,Osaka,Tokyo,Osaka,Tokyo,,Japan,Japan,3,3,dry_run
TRA_57803,"One Way Shared Transfer from Shinjuku, Ueno, Asakusa & Ginza to Tokyo Disneyland",queued_insert,,6a070e06ace533f117fc3ba9,within_city_transfer,,"Shinjuku, Ueno, Asakusa & Ginza",Tokyo Disneyland,,,Tokyo,Tokyo,Japan,Japan,1,1,dry_run
TRA_57804,"One Way Shared Transfer from  Tokyo Disneyland to Shinjuku, Ueno, Asakusa & Ginza",queued_insert,,6a070e06ace533f117fc3bab,within_city_transfer,,Tokyo Disneyland,"Shinjuku, Ueno, Asakusa & Ginza",,,Tokyo,Tokyo,Japan,Japan,1,1,dry_run
ATRA_57818,One way transfer from Tokyo City Centre Hotel to Haneda Airport,queued_insert,,6a070e06ace533f117fc3bad,within_city_transfer,,Tokyo City Centre Hotel,Haneda Airport,,,Tokyo,Tokyo,Japan,Japan,4,4,dry_run
ATRA_57819,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,queued_insert,,6a070e06ace533f117fc3bb2,within_city_transfer,,Narita Airport,Tokyo City Centre / Shinjuku Hotel,,,Tokyo,Tokyo,Japan,Japan,4,4,dry_run
ATRA_57820,One way transfer from Tokyo City Centre/Shinjuku Hotel to Narita Airport,queued_insert,,6a070e06ace533f117fc3bb7,within_city_transfer,,Tokyo City Centre / Shinjuku Hotel,Narita Airport,,,Tokyo,Tokyo,Japan,Japan,4,4,dry_run
ATRA_57829,One way transfer from Haneda Airport to Tokyo City Centre Hotel,queued_insert,,6a070e07ace533f117fc3bbc,within_city_transfer,,Haneda Airport,Tokyo City Centre Hotel,,,Tokyo,Tokyo,Japan,Japan,4,4,dry_run
ATRA_57821,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,queued_insert,,6a070e07ace533f117fc3bc1,within_city_transfer,,Kansai Airport,Osaka City / Namba / Umeda,,,Osaka,Osaka,Japan,Japan,4,4,dry_run
ATRA_57822,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,queued_insert,,6a070e07ace533f117fc3bc6,within_city_transfer,,Osaka City / Namba / Umeda,Kansai Airport,,,Osaka,Osaka,Japan,Japan,4,4,dry_run
ATRA_57823,One way transfer from Osaka Itami Airport to Osaka City Centre,queued_insert,,6a070e07ace533f117fc3bcb,within_city_transfer,,Osaka Itami Airport,Osaka City Centre,,,Osaka,Osaka,Japan,Japan,4,4,dry_run
ATRA_57824,One way transfer from Osaka City Centre to Osaka Itami Airport,queued_insert,,6a070e07ace533f117fc3bd0,within_city_transfer,,Osaka City Centre,Osaka Itami Airport,,,Osaka,Osaka,Japan,Japan,4,4,dry_run
ATRA_57825,One way transfer from Kyoto Railway Station to Kyoto City Centre Hotel,queued_insert,,6a070e07ace533f117fc3bd5,within_city_transfer,,Kyoto Railway Station,Kyoto City Centre Hotel,,,Kyoto,Kyoto,Japan,Japan,3,3,dry_run
ATRA_57826,One way transfer from Kyoto City Centre Hotel to Kyoto Railway Station,queued_insert,,6a070e07ace533f117fc3bd9,within_city_transfer,,Kyoto City Centre Hotel,Kyoto Railway Station,,,Kyoto,Kyoto,Japan,Japan,3,3,dry_run
ATRA_57827,One way transfer from Kansai International Airport to Kyoto City Centre Hotel,queued_insert,,6a070e07ace533f117fc3bdd,within_city_transfer,,Kansai Airport,Kyoto City Centre Hotel,,,"Osaka, Kyoto","Osaka, Kyoto",Japan,Japan,3,3,dry_run
ATRA_57828,One way transfer from Kyoto City Centre Hotel to Kansai International Airport,queued_insert,,6a070e07ace533f117fc3be1,within_city_transfer,,Kyoto City Centre Hotel,Kansai Airport,,,"Kyoto, Osaka","Kyoto, Osaka",Japan,Japan,3,3,dry_run
